GeneID	Base mean	Log2(FC)	StdErr	Wald-Stats	P-value	P-Adj
gene-J2S48_RS08550	254.711585473728	-3.869922949052	0.420800328305334	-9.19657777986328	3.69531117263257e-20	2.07712248977815e-18
gene-J2S48_RS22865	529.599622780814	3.39111900917357	0.369055949323005	9.18863119641948	3.97871806677992e-20	2.20092578773461e-18
MSTRG.2947.1	839.923593360036	-2.81160865877794	0.307255399821005	-9.15072171364888	5.65544411022748e-20	3.07956605064731e-18
gene-J2S48_RS11120	1466.69922840884	3.11905264100973	0.342260829997884	9.11308676785776	8.00707269884941e-20	4.29302282392157e-18
gene-J2S48_RS01630	456.308351530162	-3.74154195685222	0.410682904846493	-9.11053738224323	8.19749142501767e-20	4.32852388124039e-18
MSTRG.1825.1	8054.42617174793	-4.43286051311019	0.486852779113191	-9.10513548096554	8.61588346822439e-20	4.48154535623314e-18
gene-J2S48_RS17810	3981.89224352356	-3.3664761145881	0.37290230859671	-9.02776957122276	1.75206292815987e-19	8.97932250681933e-18
MSTRG.11.1	963.637606498186	4.36368964443035	0.483918221287617	9.01741131553049	1.92586194399678e-19	9.72699836931707e-18
gene-J2S48_RS13595	2143.62968098915	-2.58075294167152	0.287975916947773	-8.96169710656592	3.19719076187497e-19	1.59174425787633e-17
gene-J2S48_RS17310	421.414220107685	3.71212242351161	0.414421753969336	8.95735416386051	3.32562154027542e-19	1.63236493913519e-17
gene-J2S48_RS06485	2854.98712967126	-3.6843244921139	0.414053056835501	-8.89819415963795	5.67626567283904e-19	2.70983368080056e-17
gene-J2S48_RS18320	6699.80295751605	2.6528005285082	0.298084927644796	8.89947891518126	5.61094860398172e-19	2.70983368080056e-17
gene-J2S48_RS16875	887.834864896301	3.16511500936462	0.35579329544537	8.89593775341561	5.79280444871109e-19	2.72809777077813e-17
gene-J2S48_RS24720	1112.98866538661	5.24195438950214	0.591343440284157	8.8644838724908	7.68592732506615e-19	3.57139423038074e-17
MSTRG.48.1	86542.6290966588	-4.4844073823587	0.506159113926053	-8.85967921742064	8.02450061814222e-19	3.679655875556e-17
